genes,num_genes,mse
"bambi,aifm2,pfn2",3,7.971500179342882
"bambi,mstn,sfmbt1",3,7.943964698679485
"bambi,mstn,pfn2",3,8.053715550677708
"bambi,sfmbt1,pfn2",3,7.955287353936217
"lrrc37a2,fyn,tmt1a",3,7.98201423490385
"lrrc37a2,fyn,aifm2",3,8.009683706174458
"lrrc37a2,fyn,mstn",3,7.920926390716229
"lrrc37a2,fyn,sfmbt1",3,8.10348249139182
"lrrc37a2,fyn,pfn2",3,8.004858670455716
"lrrc37a2,tmt1a,aifm2",3,7.955642619113872
"lrrc37a2,tmt1a,mstn",3,7.94069605386203
"lrrc37a2,tmt1a,sfmbt1",3,7.981735135280718
"lrrc37a2,tmt1a,pfn2",3,8.024149123285502
"lrrc37a2,aifm2,mstn",3,7.960651257628177
"lrrc37a2,aifm2,sfmbt1",3,7.9522457160254945
"lrrc37a2,aifm2,pfn2",3,7.983429386857528
"lrrc37a2,mstn,sfmbt1",3,7.884440943612049
"lrrc37a2,mstn,pfn2",3,7.994980803741232
"lrrc37a2,sfmbt1,pfn2",3,7.984113026660008
"fyn,tmt1a,aifm2",3,7.958486267777134
"fyn,tmt1a,mstn",3,7.90180672650755
"fyn,tmt1a,sfmbt1",3,8.07328110808885
"fyn,tmt1a,pfn2",3,7.997616527018152
"fyn,aifm2,mstn",3,7.9452280991056305
"fyn,aifm2,sfmbt1",3,8.071435147538924
"fyn,aifm2,pfn2",3,8.00126636091554
"fyn,mstn,sfmbt1",3,7.971962685815793
"fyn,mstn,pfn2",3,7.976070156153228
"fyn,sfmbt1,pfn2",3,8.08524056215947
"tmt1a,aifm2,mstn",3,8.012254628870744
"tmt1a,aifm2,sfmbt1",3,7.956317276697653
"tmt1a,aifm2,pfn2",3,8.03621402640186
"tmt1a,mstn,sfmbt1",3,7.953420489677328
"tmt1a,mstn,pfn2",3,8.044791189966087
"tmt1a,sfmbt1,pfn2",3,8.035466748150611
"aifm2,mstn,sfmbt1",3,7.9594310115599205
"aifm2,mstn,pfn2",3,8.070671697737811
"aifm2,sfmbt1,pfn2",3,7.973234864171481
"mstn,sfmbt1,pfn2",3,7.992907511838707
"fcrl6,osbp2,bambi,lrrc37a2",4,7.825952775380591
