genes,num_genes,mse
"tmt1a,fyn,lrrc37a2",3,7.98201423490385
"tmt1a,fyn,osbp2",3,7.902454572000364
"tmt1a,lrrc37a2,osbp2",3,7.951529314335167
"sfmbt1,fcrl6,aifm2",3,7.962362445573958
"sfmbt1,fcrl6,pfn2",3,8.004495561072135
"sfmbt1,fcrl6,fyn",3,8.071005352411795
"sfmbt1,fcrl6,lrrc37a2",3,7.963232809780006
"sfmbt1,fcrl6,osbp2",3,7.980794378927739
"sfmbt1,aifm2,pfn2",3,7.973129099755418
"sfmbt1,aifm2,fyn",3,8.071435147538924
"sfmbt1,aifm2,lrrc37a2",3,7.952245716025493
"sfmbt1,aifm2,osbp2",3,7.984281638206845
"sfmbt1,pfn2,fyn",3,8.08524056215947
"sfmbt1,pfn2,lrrc37a2",3,7.984113026660006
"sfmbt1,pfn2,osbp2",3,8.009584243929691
"sfmbt1,fyn,lrrc37a2",3,8.103482491391818
"sfmbt1,fyn,osbp2",3,7.998378045406794
"sfmbt1,lrrc37a2,osbp2",3,7.971447427133018
"fcrl6,aifm2,pfn2",3,8.02793888126039
"fcrl6,aifm2,fyn",3,7.983806799893126
"fcrl6,aifm2,lrrc37a2",3,7.933784603820329
"fcrl6,aifm2,osbp2",3,7.956085477320562
"fcrl6,pfn2,fyn",3,7.986297030747308
"fcrl6,pfn2,lrrc37a2",3,7.973494315882494
"fcrl6,pfn2,osbp2",3,7.977869785594105
"fcrl6,fyn,lrrc37a2",3,8.02156463730019
"fcrl6,fyn,osbp2",3,7.956497713537277
"fcrl6,lrrc37a2,osbp2",3,7.933720816362531
"aifm2,pfn2,fyn",3,8.00126636091554
"aifm2,pfn2,lrrc37a2",3,7.983429386857528
"aifm2,pfn2,osbp2",3,8.003545554332598
"aifm2,fyn,lrrc37a2",3,8.00968370617446
"aifm2,fyn,osbp2",3,7.952528280243562
"aifm2,lrrc37a2,osbp2",3,7.943599250849619
"pfn2,fyn,lrrc37a2",3,8.004858670455716
"pfn2,fyn,osbp2",3,7.9360986136319385
"pfn2,lrrc37a2,osbp2",3,7.967378974054327
"fyn,lrrc37a2,osbp2",3,7.965687766016356
"mstn,bambi,tmt1a,sfmbt1",4,7.911104814878256
"mstn,bambi,tmt1a,fcrl6",4,7.842179238705838
"mstn,bambi,tmt1a,aifm2",4,7.951148287585624
"mstn,bambi,tmt1a,pfn2",4,7.998556110262046
"mstn,bambi,tmt1a,fyn",4,7.864483197419556
"mstn,bambi,tmt1a,lrrc37a2",4,7.89843386155489
"mstn,bambi,tmt1a,osbp2",4,7.921023552134881
"mstn,bambi,sfmbt1,fcrl6",4,7.826625419288944
"mstn,bambi,sfmbt1,aifm2",4,7.904553309474379
"mstn,bambi,sfmbt1,pfn2",4,7.950014244261438
"mstn,bambi,sfmbt1,fyn",4,7.946638792146571
"mstn,bambi,sfmbt1,lrrc37a2",4,7.85323029065114
"mstn,bambi,sfmbt1,osbp2",4,7.89373771308388
"mstn,bambi,fcrl6,aifm2",4,7.898450200738431
"mstn,bambi,fcrl6,pfn2",4,7.952453406380978
"mstn,bambi,fcrl6,fyn",4,7.851360856777887
"mstn,bambi,fcrl6,lrrc37a2",4,7.821089522873865
"mstn,bambi,fcrl6,osbp2",4,7.85206146780934
"mstn,bambi,aifm2,pfn2",4,8.010227922267962
"mstn,bambi,aifm2,fyn",4,7.902236348656916
"mstn,bambi,aifm2,lrrc37a2",4,7.904665437808952
"mstn,bambi,aifm2,osbp2",4,7.962604699232858
"mstn,bambi,pfn2,fyn",4,7.933319439034607
"mstn,bambi,pfn2,lrrc37a2",4,7.9506888012444685
"mstn,bambi,pfn2,osbp2",4,7.969267065778386
"mstn,bambi,fyn,lrrc37a2",4,7.8950204392746945
"mstn,bambi,fyn,osbp2",4,7.8418683589292595
"mstn,bambi,lrrc37a2,osbp2",4,7.874703124608129
"mstn,tmt1a,sfmbt1,fcrl6",4,7.850775038180206
"mstn,tmt1a,sfmbt1,aifm2",4,7.909869392122407
"mstn,tmt1a,sfmbt1,pfn2",4,7.960186246633957
"mstn,tmt1a,sfmbt1,fyn",4,7.942867452787301
