gene,mse
acvr1,8.268893095382836
acvr1b,8.276056768225729
acvr1c,8.269227127873704
acvr2a,8.27034334554593
acvr2b,8.267649493470378
acvrl1,8.238067959835085
acy1,8.259834266551723
acy3,8.267566571309608
acyp1,8.303133693296987
acyp2,8.264435409075745
ada,8.281532640588951
ada2,8.265834008718766
adad1,8.242667770158961
adad2,8.239193093985268
adal,8.257675621447637
adam10,8.305049484063789
adam11,8.257870225046432
adam12,8.273167202987798
adam15,8.278110561569088
adam17,8.263400127762266
adam18,8.279278281462197
adam19,8.354324625431511
adam2,8.264586869595739
adam20,8.257483489944605
adam21,8.246462152713985
adam22,8.243235487322705
adam23,8.258989988696605
adam28,8.241895680991231
adam29,8.231485396525365
adam30,8.252265594991663
adam32,8.262157433136538
adam33,8.258586882372613
adam7,8.261831905467087
adam8,8.278967559723595
adam9,8.252804380116947
adamdec1,8.220659719308099
adamts1,8.19676005342933
adamts10,8.269268054835202
adamts12,8.2812669249558
adamts13,8.253024532279435
adamts14,8.288656260850523
adamts15,8.260722968120014
adamts16,8.279283690827233
adamts17,8.265659111458662
adamts18,8.269332432714327
adamts19,8.262697751376963
adamts2,8.275588953018058
adamts20,8.261932894263605
adamts3,8.262026980724686
adamts4,8.27856126129323
adamts5,8.257176454158625
adamts6,8.300912736524685
adamts7,8.279684724060882
adamts8,8.22760486461062
adamts9,8.26865436097472
adamtsl1,8.263870782049041
adamtsl2,8.254446384863945
adamtsl3,8.274313933101551
adamtsl4,8.226252816902424
adamtsl5,8.269165226457527
adap1,8.269911351443415
adap2,8.258233233246978
adar,8.356787435043625
adarb1,8.26521542315639
adarb2,8.289571755691707
adat1,8.341878478724265
adat2,8.260335916081226
adck1,8.261097860462467
adck2,8.22191570263302
adck5,8.262589885502512
adcy1,8.244762240634875
adcy10,8.267510196655374
adcy2,8.293717960161976
adcy3,8.281877438012149
adcy4,8.267295317282047
adcy5,8.252418607028556
adcy6,8.283187304572378
adcy7,8.260944358306258
adcy8,8.333936771010103
adcy9,8.273173841300862
adcyap1,8.263117261739946
adcyap1r1,8.263768704118739
add1,8.253453713437553
add2,8.248194864517544
add3,8.27699530844112
adgb,8.271731953857111
adgra1,8.291512535335068
adgra2,8.254971291098139
adgra3,8.266269105701683
adgrb1,8.256552517141685
adgrb2,8.260266697715924
adgrb3,8.257974110236248
adgrd1,8.274123336614522
adgrd2,8.260657452434156
adgre1,8.263230803647824
adgre2,8.30595903616895
adgre3,8.288517592377765
adgre5,8.263524536703988
adgrf1,8.269062556130871
adgrf2p,8.279270064672906
adgrf3,8.262095240817231
adgrf4,8.264901018144808
adgrf5,8.263837582304431
adgrg1,8.340725101325061
adgrg2,8.264362657140996
adgrg3,8.259901403862795
adgrg4,8.26208211214455
adgrg5,8.25731269697461
adgrg6,8.26049869093196
adgrg7,8.261985604022689
adgrl1,8.283085668910758
adgrl2,8.264641449425504
adgrl3,8.264632213029627
adgrl4,8.262200779256768
adgrv1,8.264523737815797
adh1a,8.264191235388513
adh1b,8.263106737271771
adh1c,8.274874222908124
adh4,8.268282589835302
adh5,8.245399118719288
adh6,8.293645358905415
adh7,8.260824474271523
adhfe1,8.256381900028009
adi1,8.270163360260351
adig,8.253710721880072
adipoq,8.284846554992493
adipor1,8.257791307223554
adipor2,8.249046657915564
adirf,8.259823347476448
adissp,8.23626738513024
adk,8.262467899434716
adm,8.268200664861759
adm2,8.262868809136629
adm5,8.262719235914114
adnp,8.265905474091259
adnp2,8.26119102435553
ado,8.269013114172523
adora1,8.259104320069802
adora2a,8.258381255100112
adora2b,8.262010504940152
adora3,8.262128661007353
adpgk,8.280900335721107
adprh,8.251774612342192
adprhl1,8.327592274245877
adprm,8.265336438449848
adprs,8.224180249632552
adra1a,8.267571115140951
adra1b,8.231299924848768
adra1d,8.262454765269064
adra2a,8.27314961810972
adra2b,8.262962126349297
adra2c,8.262465735015935
adrb1,8.268560210415844
adrb2,8.251056044895954
adrb3,8.26136718550771
adrm1,8.261601122524972
adsl,8.264121347080891
adss1,8.26747333402409
adss2,8.25768095929002
adtrp,8.355982683296725
aebp1,8.244178092691175
aebp2,8.267809597665435
aen,8.229169223526293
afap1,8.266596776790266
afap1l1,8.263872503522368
afap1l2,8.270301366550463
afdn,8.250359162019869
aff1,8.28519509394734
aff2,8.222354219396344
aff3,8.25260401728019
aff4,8.243332412699772
afg1l,8.253809987629364
afg2a,8.264514434222
afg2b,8.26817522480746
afg3l2,8.240585486190467
afm,8.260356732330788
afmid,8.24041472570741
afp,8.29531954048462
aftph,8.260656856308096
aga,8.23618326030814
agap1,8.235825806617163
agap2,8.299186961470754
agap3,8.265315348487583
agap4,8.262363621173915
agap5,8.305235714840354
agap6,8.242474852951641
agap9,8.281790731507614
agbl1,8.261783770823989
agbl2,8.26369673052805
agbl3,8.263290751614429
agbl4,8.26573765126766
agbl5,8.261997313943109
ager,8.33502291340889
agfg1,8.26491497355083
agfg2,8.240010768304364
aggf1,8.265759371572313
agk,8.264803935705977
agl,8.26230228378672
agmat,8.260275875115397
agmo,8.309931384636998
ago1,8.279494742657194
ago2,8.265052714421335
ago3,8.259058261573704
ago4,8.270314907953377
agpat1,8.26618827641108
agpat2,8.265632502875999
agpat3,8.243694594581932
agpat4,8.250606353289605
agpat5,8.301303906282447
agps,8.26763106074967
agr2,8.257557968612959
agr3,8.27137375949415
agrn,8.261999254119694
agrp,8.246146833695098
agt,8.303236012550835
agtpbp1,8.257543081919653
agtr1,8.308298286321126
agtr2,8.262172473988988
agtrap,8.295586464180587
agxt,8.216963038472072
agxt2,8.263211322118623
ahctf1,8.275737357571622
ahcy,8.284535964157959
ahcyl1,8.267475895188964
ahcyl2,8.259772753390644
ahdc1,8.210083461779375
ahi1,8.259149445588212
ahnak,8.279650609680354
ahnak2,8.250521066624842
ahr,8.21308685910566
ahrr,8.288794191102951
ahsa1,8.26750416974906
ahsg,8.296366609711567
ahsp,8.261361625045298
aicda,8.25926616221606
aida,8.261717568819519
aif1l,8.257600457307268
aifm1,8.266108698008706
aifm2,8.150786588184664
aifm3,8.26904207738312
aig1,8.257619974130975
aim2,8.260982360905682
aimp1,8.274590105710267
aimp2,8.263934247232688
aip,8.262073460512376
aipl1,8.22961484633954
aire,8.30536763722178
airim,8.260870017162597
ajap1,8.257036713208342
ajm1,8.260432408152589
ajuba,8.267196570841563
ak1,8.260376378700649
ak2,8.261945262090581
ak3,8.261713183038461
ak4,8.258551275417041
ak5,8.260801309394129
ak6,8.261823112159597
ak7,8.267581147680259
ak8,8.236358268558329
ak9,8.252315473435651
akain1,8.256464044146666
akap1,8.258395626934622
akap10,8.2503359809584
akap11,8.277267996879798
akap12,8.261040043303591
akap13,8.269345429523183
akap14,8.262061683512252
akap17a,8.23563957326466
akap3,8.263106388627214
akap4,8.274690371150093
akap5,8.263612754655087
akap6,8.257748629984741
akap7,8.287452732034607
akap8,8.216338429284715
akap8l,8.272695297507695
akap9,8.248756477381303
akirin1,8.248153584063072
akirin2,8.267069276870318
akna,8.254349681977637
aknad1,8.255706378419996
akr1a1,8.311625064811482
akr1b1,8.26010925307732
akr1b10,8.257616856924162
akr1b15,8.262747601349101
akr1c1,8.244714178681015
akr1c2,8.257098549966933
akr1c3,8.2621833752884
akr1c4,8.289583208608798
akr1c8,8.26208820321683
akr1d1,8.264353415140954
akr1e2,8.254059027053676
akr7a2,8.25919451934579
akr7a3,8.259845154606234
akr7l,8.260600606079151
akt1,8.353028104523657
akt1s1,8.244830552892656
akt2,8.254251198327168
akt3,8.214530184651586
aktip,8.262470645646625
alad,8.275747682477801
alas1,8.275137467922427
alas2,8.270200697809821
alb,8.28108953006983
alcam,8.285098122756299
aldh16a1,8.22769002329681
aldh18a1,8.314588322347001
aldh1a1,8.285620584907155
aldh1a2,8.259582751902398
aldh1a3,8.247467106103539
aldh1b1,8.255967401071626
aldh1l1,8.260544044066707
aldh1l2,8.269371156483928
aldh2,8.242905831510178
aldh3a1,8.269751542902508
aldh3a2,8.271673338435377
aldh3b1,8.26232379610236
aldh3b2,8.259287993873999
aldh4a1,8.262789088485658
aldh5a1,8.24464367899311
aldh6a1,8.203908112326879
aldh7a1,8.222541218530731
aldh8a1,8.269895143940682
aldh9a1,8.252487693968913
aldoa,8.27130849401294
aldob,8.220825314122296
aldoc,8.247024418506875
alg1,8.260500621153623
alg10,8.25479750987502
alg10b,8.262983696049034
alg11,8.262603937368688
alg12,8.262184511262717
alg13,8.255419245460773
alg14,8.259054345647648
alg1l1p,8.257173313147462
alg1l2,8.245937847042867
alg2,8.271375467172994
alg3,8.254754724936783
alg5,8.278493917600088
alg6,8.263261022464466
alg8,8.2508950962644
alg9,8.261541452919552
alk,8.254779963956176
alkal1,8.264341835863688
alkal2,8.263042062592218
alkbh1,8.28301965978453
alkbh2,8.260732523729912
alkbh3,8.263824241679742
alkbh4,8.266723141003478
alkbh5,8.273387560401012
alkbh6,8.26947630505114
alkbh7,8.26224379325685
alkbh8,8.263969976801114
allc,8.274773074767591
alms1,8.301495183694303
alox12,8.263980785636063
alox12b,8.15832623332968
alox15,8.270501711584473
alox15b,8.262022947396867
alox5,8.263515570041243
alox5ap,8.243118919678212
aloxe3,8.334279631931402
alpg,8.279607563137535
alpi,8.267690501284326
alpk1,8.262963456850441
alpk2,8.263543267409325
alpk3,8.288734855951406
alpl,8.264938340450461
alpp,8.258094412521183
als2,8.25515838078018
als2cl,8.212232534285052
alx1,8.256215005276953
alx3,8.272117225105795
alx4,8.283939278561009
alyref,8.257815598929584
amacr,8.254897522002942
ambn,8.25054789022817
ambp,8.263340540052532
ambra1,8.254105570028853
amd1,8.2605355350793
amdhd1,8.316947851507276
amdhd2,8.251177479085849
amelx,8.261453093762322
amely,8.281188870876552
amer1,8.272895310013379
amer2,8.209611883757143
amer3,8.271417577553
amfr,8.257651013640674
amh,8.249202482557786
amhr2,8.257530605499037
amigo1,8.2622417390698
amigo2,8.262583640927465
amigo3,8.2618876118836
ammecr1,8.307474626237202
ammecr1l,8.294870170415718
amn,8.2381732466415
amn1,8.26705111924203
amot,8.261364279986966
amotl1,8.26315754327819
amotl2,8.267134855486296
ampd1,8.276754395591283
ampd2,8.261677210782857
ampd3,8.265966695366833
amph,8.200897326688763
amt,8.253587218085222
amtn,8.261076843444354
amy1a,8.265226898257271
amy1c,8.262128661007353
amy2a,8.266293827075677
amy2b,8.276421558208261
amz1,8.267517566890634
amz2,8.260683003976236
anapc1,8.268297593767173
anapc10,8.261948122385975
anapc11,8.261724692838065
anapc16,8.244458604636437
anapc2,8.262938794610994
anapc4,8.26461816694754
anapc5,8.247225313643614
anapc7,8.253027728550675
ang,8.262372765669925
angel1,8.27714830299696
angel2,8.2778282071584
angpt1,8.270056863132323
angpt2,8.256233666244578
angpt4,8.273986303191617
angptl1,8.261010534844104
angptl2,8.239066921254755
angptl3,8.264329876174314
angptl4,8.27695699698312
angptl5,8.259219386133182
angptl6,8.28038966973873
angptl7,8.267210199745445
angptl8,8.249921915584164
ank1,8.277032690839476
ank2,8.259264667614172
ank3,8.257835177983896
ankar,8.257984529550184
ankdd1a,8.278690059248985
ankdd1b,8.263052412119073
ankef1,8.271253179707882
ankfn1,8.271728354694464
ankfy1,8.270023774458034
ankh,8.275727365020094
ankhd1_eif4ebp3,8.263218057862522
ankib1,8.256985740511908
ankk1,8.25803544360906
ankle1,8.265202014895863
ankle2,8.255043286371153
ankmy1,8.259772014250302
ankmy2,8.26454903756646
ankra2,8.270194421020678
ankrd1,8.260887773008232
ankrd10,8.257824287138595
ankrd11,8.26243458369857
ankrd12,8.247966142582134
ankrd13a,8.255793796083212
ankrd13b,8.262240967731492
ankrd13c,8.261267746328068
ankrd13c_dt,8.27638069198935
ankrd13d,8.223237883446913
ankrd16,8.263622101577134
ankrd17,8.270131733280975
ankrd18a,8.26317192643124
ankrd18b,8.239014265737667
ankrd2,8.253776034034866
ankrd20a1,8.2619184356748
ankrd20a2p,8.356138101600383
ankrd20a3p,8.261738429033075
ankrd20a4p,8.357070526940191
ankrd22,8.261937722187522
ankrd23,8.268371572379015
ankrd24,8.25384757928692
ankrd26,8.281225679171866
ankrd27,8.283922285583854
ankrd28,8.2741611542906
ankrd29,8.25905402582125
ankrd30a,8.22131175383979
ankrd30b,8.25876534632301
ankrd30bl,8.264589557048453
ankrd31,8.274695865132733
ankrd33,8.273411134404167
ankrd33b,8.280283728932423
ankrd34a,8.267269793527039
ankrd34b,8.29006393026531
ankrd35,8.262844654829005
ankrd36,8.301592569670234
ankrd36b,8.280952507811072
ankrd36c,8.268508775139892
ankrd39,8.261805227821228
ankrd40,8.262443364001705
ankrd40cl,8.258129943138899
ankrd42,8.266651827006488
ankrd44,8.281929605086937
ankrd45,8.250163999357822
ankrd46,8.236614589665953
ankrd49,8.237800713328575
ankrd50,8.233293987567128
ankrd52,8.24813620353008
ankrd53,8.271557909825738
ankrd54,8.253033726972157
ankrd55,8.258066573599157
ankrd6,8.258014038552794
ankrd60,8.265384920664452
ankrd61,8.236234446397113
ankrd62,8.295076921627444
ankrd65,8.282185183732137
ankrd66,8.26242678002333
ankrd7,8.263234363976673
ankrd9,8.271433016584716
anks1a,8.260916175362517
anks1b,8.261933602354091
anks3,8.286264990642895
anks4b,8.302230323892921
anks6,8.2626771290911
ankub1,8.259589173553973
ankzf1,8.315944908904857
anln,8.26321081136367
ano1,8.299400975276802
ano10,8.259384185905075
ano2,8.289178679967801
ano3,8.309194457031609
ano4,8.256722797764594
ano5,8.263237712265859
ano6,8.303484858110767
ano7,8.291279303656138
ano8,8.251163534109352
ano9,8.261066758843914
anos1,8.252344582201992
anp32a,8.267714759891156
anp32b,8.246930109697189
anp32d,8.261915678972354
anp32e,8.262257061083837
anpep,8.276388450867467
antxr1,8.267190846321899
antxr2,8.288637306598009
antxrl,8.273555932172572
anxa1,8.217041768916836
anxa10,8.309412013325606
anxa11,8.27470930080774
anxa13,8.270753930411134
anxa2,8.234425744188245
anxa2r,8.280206428042613
anxa3,8.26086416101768
anxa4,8.232000467874434
anxa5,8.280742039021753
anxa6,8.27115678693219
anxa7,8.261942906639053
anxa8,8.272489475184761
anxa8l1,8.264358324034983
anxa9,8.264173147876049
aoah,8.278916409950375
aoc1,8.281025013127897
aoc2,8.266849903884587
aoc3,8.250799152894906
aopep,8.273927625760688
aox1,8.217720530281142
ap1ar,8.243393516432553
ap1b1,8.261909115395587
ap1g1,8.227375166243817
ap1g2,8.262718941957788
ap1m1,8.246311510905963
ap1m2,8.259657727067214
ap1s1,8.260753039977013
ap1s2,8.221161885551593
ap1s3,8.287004012829668
ap2a1,8.261786694079651
ap2a2,8.262649481675533
ap2b1,8.255414452229171
ap2m1,8.237966607019754
ap2s1,8.212664444142028
ap3b1,8.255268403900722
ap3b2,8.261203009172384
ap3d1,8.257568284088155
ap3m1,8.233741028557493
ap3m2,8.289500608368288
ap3s1,8.284514261698494
ap3s2,8.26150428676139
ap4b1,8.252519607371797
ap4e1,8.267506276056386
ap4m1,8.257984645865577
ap4s1,8.258384040720063
ap5b1,8.269951282541701
ap5m1,8.264429278791159
ap5s1,8.267042479365925
ap5z1,8.247431837086737
apaf1,8.268112420634745
apba1,8.257705586311147
apba2,8.264921976507523
apba3,8.251826703967525
apbb1,8.26209653622571
apbb1ip,8.253667494215497
apbb2,8.223888078039774
apbb3,8.260956632545524
apc,8.261586751729958
apc2,8.23829583136984
apcdd1,8.266999152022706
apcdd1l,8.26061809777524
apcs,8.316551670318539
apeh,8.256894087728524
apela,8.262198995848035
apex1,8.264149033883132
apex2,8.260610019433434
aph1a,8.239352533976078
aph1b,8.259667804049158
api5,8.275727687803633
apip,8.27588395889825
aplf,8.255475349183177
apln,8.254412549862742
aplnr,8.260675306915443
aplp1,8.279295185426278
aplp2,8.278324076309516
apmap,8.262333970722521
apoa1,8.261062929900923
apoa2,8.261872825619847
apoa4,8.249739551031958
apoa5,8.243440087605578
apob,8.262573093004685
apobec1,8.265294017598542
apobec2,8.263295880219372
apobec3a,8.260022245223922
apobec3b,8.255109468814938
apobec3c,8.277510018641024
apobec3d,8.261780218777893
apobec3f,8.261919582699877
apobec3g,8.26520538151178
apobec3h,8.264008571627418
apobec4,8.292393667539526
apobr,8.274575423096932
apoc1,8.26118371162235
apoc2,8.25929498677114
apoc3,8.238514931628762
apoc4,8.262140393273937
apoc4_apoc2,8.261054349682974
apod,8.2575368417744
apoe,8.341812636071554
apof,8.262593920523342
apoh,8.294857326661147
apol1,8.270414297337803
apol2,8.26113403475969
apol3,8.262076607847558
apol4,8.255617388005057
apol5,8.269023438635333
apol6,8.250721882885468
apold1,8.27014664906306
apom,8.259449369102038
apoo,8.262154294326635
apool,8.221367959691165
app,8.281208793244764
appbp2,8.27960811229438
appl1,8.272417870310527
appl2,8.269911063714762
aprt,8.247496343915538
aptx,8.277815466802501
aqp1,8.253770287219549
aqp10,8.26392335945801
aqp11,8.263511919785358
aqp12a,8.254026335224362
aqp12b,8.27276098555534
aqp2,8.289560014405662
aqp3,8.282038793158256
aqp4,8.268105118153846
aqp5,8.2617792591816
aqp6,8.290700377985901
aqp7,8.266592248854723
aqp8,8.260855166100585
aqp9,8.26313444985182
aqr,8.260184919672602
ar,8.286538609282943
araf,8.287845713807386
arap1,8.252597779693383
arap2,8.260565784467975
arap3,8.26188692764415
arb2a,8.262589315005592
arc,8.221989625832242
arcn1,8.238505130064716
areg,8.229933646077646
arel1,8.288070063506872
arf1,8.272200242349014
arf3,8.271933302002548
arf4,8.26177599429021
arf5,8.260910738397286
arf6,8.264132189579788
arfgap1,8.253212845112122
arfgap2,8.274128946288924
arfgap3,8.273965098396676
arfgef1,8.25703331244964
arfgef2,8.248112185208683
arfgef3,8.268513510635414
arfip1,8.263030084828321
arfip2,8.259241148112178
arfrp1,8.282102192241089
arg1,8.274246644465027
arg2,8.270781225815604
argfx,8.256607787653785
arglu1,8.217946359652666
arhgap1,8.264417057082637
arhgap10,8.272042932863599
arhgap11a,8.260059489871312
arhgap11b,8.303682884937563
arhgap12,8.281033780662824
arhgap15,8.2590643656398
arhgap17,8.254464341673811
arhgap18,8.258873954721851
arhgap19,8.264461685822287
arhgap20,8.27118773825313
arhgap21,8.262617133338836
arhgap22,8.234549830000313
arhgap23,8.256188510473656
arhgap24,8.272408743895477
arhgap25,8.266344198416524
arhgap26,8.261439718755645
arhgap27,8.268151143844507
arhgap28,8.261628741521582
arhgap29,8.247857987058735
arhgap30,8.261969050666618
arhgap31,8.262279953650792
arhgap32,8.264162657822338
arhgap33,8.264916098487294
arhgap35,8.261679640016501
arhgap36,8.273425159989612
arhgap39,8.244837936980755
arhgap4,8.257941329651615
arhgap40,8.267188470348218
arhgap42,8.280239826470496
arhgap44,8.261086539795524
arhgap45,8.234273464453413
arhgap5,8.263496456479913
arhgap6,8.252887331462762
arhgap9,8.30153313727554
arhgdia,8.261431901797934
arhgdib,8.257705823989232
arhgdig,8.260566065764394
arhgef1,8.260576542946241
arhgef10,8.283971336302539
arhgef10l,8.213673119933173
arhgef11,8.258186162525567
arhgef12,8.26631556108174
arhgef15,8.265401732185575
arhgef16,8.273016200537704
arhgef17,8.272811979772333
arhgef18,8.265247776061317
arhgef19,8.273657150043553
arhgef2,8.276773397776081
arhgef25,8.201045324304623
arhgef26,8.28413883000771
arhgef28,8.29737224378127
arhgef3,8.302784047035464
arhgef33,8.24879469913927
arhgef35,8.256681169598906
arhgef37,8.245263625555594
arhgef38,8.257580103886209
arhgef39,8.26185534259714
arhgef4,8.259920981824473
arhgef40,8.30112743739392
arhgef5,8.267264371024384
arhgef6,8.255680715753906
arhgef7,8.274941564637903
arhgef9,8.268807337108221
arid1a,8.259470956306856
arid1b,8.271007786865049
arid2,8.262643321034158
arid3a,8.228327268273691
arid3b,8.264804486199614
arid3c,8.254643270505513
arid4a,8.262512003565893
arid4b,8.265850849219227
arid5a,8.258670442717232
arid5b,8.258282667922508
arih1,8.262463309806195
arih2,8.25407081562753
arih2os,8.227681433449234
ark2c,8.263182882101171
ark2n,8.26680067048927
arl1,8.247524418639673
arl10,8.276576999025682
arl11,8.27117999170541
arl13a,8.261514274241671
arl13b,8.280012540907824
arl14,8.262099432470555
arl14ep,8.276929840248453
arl14epl,8.276388918200317
arl15,8.27811597375386
arl16,8.291407230319694
arl17b,8.262514661487499
arl2,8.263431438896907
arl2bp,8.269593830117545
arl3,8.254664397587913
arl4a,8.237948102364506
arl4c,8.255758852090242
arl4d,8.21639567196376
arl5a,8.263967356767337
arl5b,8.313797412464721
arl5c,8.271539483502208
arl6,8.260783923590473
arl6ip1,8.259821158671095
arl6ip4,8.249691071950913
arl6ip5,8.262773403005934
arl6ip6,8.27728285767593
arl8a,8.238744403084965
arl8b,8.251061552962591
arl9,8.273811389176222
armc1,8.27684279048409
armc10,8.260523458310693
armc12,8.266207890755407
armc2,8.265344523244087
armc3,8.242244277854963
armc5,8.238148437489661
armc6,8.23147777893846
armc7,8.263752716372188
armc8,8.294445763614114
armc9,8.282765308984091
armcx1,8.265043126506937
armcx2,8.231755717391838
armcx3,8.229748865231693
armcx4,8.271711328881263
armcx5,8.262046530308503
armh1,8.262040217615242
armh3,8.270737809788084
armh4,8.315517248253038
arms2,8.258464707207134
armt1,8.253550020364862
arnt,8.245362563260926
arnt2,8.262295414929408
arpc1a,8.260344996908668
arpc1b,8.257239323332154
arpc2,8.30304817031469
arpc3,8.257958498823967
arpc4,8.30386745667236
arpc5,8.267560979014764
arpc5l,8.25845123822312
arpin,8.26134583714893
arpp19,8.314598007821568
arpp21,8.236884932175554
arr3,8.26972048112174
arrb1,8.261554994334679
arrb2,8.28887905946349
arrdc1,8.270206462182543
arrdc2,8.299605343050159
arrdc3,8.259897956868164
arrdc4,8.282622975958382
arrdc5,8.261044802854281
arsa,8.30869556397387
arsb,8.259374073600155
arsd,8.213349637780532
arsf,8.272308858312392
arsg,8.254701825568306
arsh,8.25987127612077
arsi,8.266605010031196
arsj,8.303202080734913
